Start time : 02:44:26
32x32 22 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 22 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 23 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 23 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 24 a    { rank: 1, agentID: 1, name: '../input/mysimple/rule454/main.py' }, 
32x32 24 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
32x32 25 a    { rank: 1, agentID: 0, name: '../input/other/imit3/main.py' }, 
32x32 25 b    { rank: 1, agentID: 0, name: '../input/mysimple/rule454/main.py' }, 
End time : 04:28:56
12x12 imit3 win 25
12x12 rule454 win 26
16x16 imit3 win 14
16x16 rule454 win 36
24x24 imit3 win 8
24x24 rule454 win 42
32x32 imit3 win 7
32x32 rule454 win 43
imit3 win 54
rule454 win 147
