start 22/10/2021 17:49:40.35 
90 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
90 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
91 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
91 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
92 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
92 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
93 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
93 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
94 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
94 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
95 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
95 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
96 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
96 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
97 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
97 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
98 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
98 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
99 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
99 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
100 a    { rank: 1, agentID: 1, name: 'rule468/main.py' },
100 b    { rank: 1, agentID: 0, name: 'rule468/main.py' },
end 22/10/2021 18:05:51.42 
C:/git/luxai/light/main.py win 2
rule468/main.py win 201
